iter	Passed	Remaining
0	1	113
1	1	90
2	2	85
3	3	78
4	3	75
5	4	77
6	5	74
7	6	72
8	6	69
9	7	67
10	8	66
11	8	64
12	9	63
13	10	64
14	11	63
15	12	63
16	12	62
17	13	61
18	14	60
19	15	60
20	15	59
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	41	33
55	42	33
56	43	32
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	24
69	54	23
70	55	22
71	55	21
72	56	21
73	57	20
74	58	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	10
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
